,date,price,note,status,data_index,instru,unit
517,20031222,0.7495499999999999,exit,long,934,4,0
518,20031223,1035.0,exit,long,971,24,0
519,20031223,14.485000000000001,exit,long,917,26,0
520,20031230,19.35,entry,short,886,29,0
521,20040106,12695.0,entry,long,904,21,0
522,20040106,214.7625,exit,short,926,18,0
523,20040108,281.25,entry,long,905,22,0
524,20040112,32.447500000000005,entry,long,898,20,0
525,20040113,323.04999999999995,entry,long,899,23,0
526,20040113,528.0,entry,long,908,3,0
527,20040116,1228.9,exit,long,968,31,0
528,20040120,1.72965,exit,long,967,2,0
529,20040120,0.37075,exit,long,945,19,0
530,20040123,30.845,exit,long,925,20,0
531,20040130,329.45,exit,long,982,23,0
532,20040205,12325.0,exit,long,991,21,0
533,20040211,276.75,exit,long,992,22,0
534,20040220,30.15,entry,short,925,20,0
535,20040223,0.43409999999999993,exit,long,945,0,0
536,20040226,19.495,exit,short,933,29,0
537,20040302,15.385,entry,long,940,26,0
538,20040310,73.91,entry,short,933,6,0
539,20040311,1393.0,entry,short,948,34,0
540,20040311,95.0925,entry,long,943,11,0
541,20040317,221.9,entry,long,953,18,0
542,20040317,160.2,entry,long,953,17,0
543,20040319,1428.5,exit,short,956,34,0
544,20040329,15.495,exit,long,1016,26,0
545,20040401,737.75,entry,long,954,13,0
546,20040401,1.2363499999999998,entry,long,958,16,0
547,20040405,58.46095,exit,long,966,33,0
548,20040413,30.881500000000003,exit,short,960,20,0
549,20040414,562.25,exit,long,990,3,0
550,20040414,1.2201,exit,long,984,16,0
551,20040414,720.8499999999999,exit,long,968,13,0
552,20040415,95.05000000000001,exit,long,967,11,0
553,20040419,222.6,exit,long,1064,18,0
554,20040420,138.975,entry,long,976,10,0
555,20040422,1.01585,entry,short,972,30,0
556,20040426,95.0325,entry,short,974,11,0
557,20040429,0.7322500000000001,entry,short,977,4,0
558,20040506,52.5547,entry,short,982,33,0
559,20040510,73.955,exit,short,1142,6,0
560,20040510,1.1554,entry,short,984,16,0
561,20040510,93.80250000000001,entry,short,984,9,0
562,20040510,682.7,entry,short,980,13,0
563,20040510,0.3134,entry,short,984,19,0
564,20040512,95.05799999999999,entry,long,1011,8,0
565,20040513,1388.25,entry,short,992,34,0
566,20040514,1.35255,entry,short,988,7,0
567,20040514,77.39065,entry,short,988,12,0
568,20040514,31.288000000000004,entry,long,984,20,0
569,20040518,0.35214999999999996,entry,short,990,0,0
570,20040518,163.35,exit,long,1064,17,0
571,20040526,0.3322,exit,short,1018,19,0
572,20040528,93.9825,exit,short,1045,9,0
573,20040528,1.05955,exit,short,998,30,0
574,20040528,92.048,exit,long,1048,8,0
575,20040528,0.3893,exit,short,1027,0,0
576,20040528,0.74265,exit,short,1018,4,0
577,20040528,53.8125,exit,short,1022,33,0
578,20040601,1.18405,exit,short,1096,16,0
579,20040607,1.4064,exit,short,1022,7,0
580,20040607,1.06445,entry,long,1003,30,0
581,20040610,30.818999999999996,exit,long,1023,20,0
582,20040616,94.8825,exit,short,1035,11,0
583,20040616,55.94,entry,short,1013,1,0
584,20040618,20.395,entry,long,1002,29,0
585,20040621,1.786,entry,long,1012,2,0
586,20040621,703.4,exit,short,1021,13,0
587,20040621,258.625,entry,short,1017,22,0
588,20040624,1079.76,entry,long,1020,32,0
589,20040701,155.8,exit,long,1071,10,0
590,20040701,306.15,entry,short,1016,23,0
591,20040701,79.4844,exit,short,1022,12,0
592,20040701,513.375,entry,short,1025,3,0
593,20040705,91.178,entry,short,1048,8,0
594,20040706,1.4093,entry,long,1022,7,0
595,20040712,13.940000000000001,entry,short,1030,26,0
596,20040713,0.3746,entry,long,1027,19,0
597,20040716,1042.0099999999998,exit,long,1042,32,0
598,20040719,170.925,entry,long,1027,14,0
599,20040719,0.7711,entry,long,1031,4,0
600,20040722,0.36,exit,long,1250,19,0
601,20040723,376.25,entry,short,1040,28,0
602,20040726,1.0443,exit,long,1061,30,0
603,20040728,1.3850500000000001,exit,long,1170,7,0
604,20040728,93.033,exit,short,1195,8,0
605,20040729,168.9,entry,long,1035,5,0
606,20040730,1.7719,exit,long,1058,2,0
607,20040803,30.396,entry,short,1038,20,0
608,20040805,1275.9,entry,long,1040,31,0
609,20040806,1004.4100000000001,entry,short,1050,32,0
610,20040809,59.632850000000005,entry,long,1046,33,0
611,20040809,81.5469,entry,long,1046,12,0
612,20040810,14.2,exit,short,1130,26,0
613,20040810,1101.75,entry,long,1043,24,0
614,20040816,12470.0,entry,short,1057,21,0
615,20040817,20.119999999999997,exit,long,1066,29,0
616,20040820,252.75,exit,short,1075,22,0
617,20040823,718.6500000000001,entry,long,1052,13,0
